SourcePath,SourceName,Extension,RelativePath,Target,SizeBytes,ModifiedAt,IndexedAt
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016142.0001.pdf,SDE-TS-RE600016142.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016142.0001.pdf,07_SCIFORMA/acceptence_reports,103231,2018-03-27T00:56:05.977056+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016558.0001.docx,SDE-TS-RE600016558.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016558.0001.docx,07_SCIFORMA/acceptence_reports,49319,2020-01-14T01:50:56.521380+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016558.0001.pdf,SDE-TS-RE600016558.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016558.0001.pdf,07_SCIFORMA/acceptence_reports,102496,2018-03-27T00:56:00.602049+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016564.0001.docx,SDE-TS-RE600016564.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016564.0001.docx,07_SCIFORMA/acceptence_reports,49324,2020-01-14T01:50:56.599502+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016564.0001.pdf,SDE-TS-RE600016564.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016564.0001.pdf,07_SCIFORMA/acceptence_reports,103001,2018-03-27T00:56:00.930174+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016712.0001.docx,SDE-TS-RE600016712.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016712.0001.docx,07_SCIFORMA/acceptence_reports,49326,2020-01-14T01:50:56.818250+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016712.0001.pdf,SDE-TS-RE600016712.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016712.0001.pdf,07_SCIFORMA/acceptence_reports,103282,2018-03-27T00:56:01.758278+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016815.0001.docx,SDE-TS-RE600016815.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016815.0001.docx,07_SCIFORMA/acceptence_reports,49332,2020-01-14T01:50:57.162023+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016815.0001.pdf,SDE-TS-RE600016815.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016815.0001.pdf,07_SCIFORMA/acceptence_reports,102603,2018-03-27T00:56:02.742654+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016853.0001.docx,SDE-TS-RE600016853.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016853.0001.docx,07_SCIFORMA/acceptence_reports,49316,2020-01-14T01:50:57.396378+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600016853.0001.pdf,SDE-TS-RE600016853.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600016853.0001.pdf,07_SCIFORMA/acceptence_reports,102474,2018-03-27T00:56:03.570787+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600017338.0001.docx,SDE-TS-RE600017338.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600017338.0001.docx,07_SCIFORMA/acceptence_reports,49343,2020-01-14T01:50:58.896399+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600017338.0001.pdf,SDE-TS-RE600017338.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600017338.0001.pdf,07_SCIFORMA/acceptence_reports,105348,2018-03-27T00:56:07.805451+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600017358.0001.docx,SDE-TS-RE600017358.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600017358.0001.docx,07_SCIFORMA/acceptence_reports,49346,2020-01-14T01:50:58.990125+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600017358.0001.pdf,SDE-TS-RE600017358.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600017358.0001.pdf,07_SCIFORMA/acceptence_reports,105514,2018-03-27T00:56:08.133317+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600017485.0001.docx,SDE-TS-RE600017485.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600017485.0001.docx,07_SCIFORMA/acceptence_reports,49336,2020-01-14T01:50:59.302616+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600017631.0001.docx,SDE-TS-RE600017631.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600017631.0001.docx,07_SCIFORMA/acceptence_reports,49356,2020-01-14T01:50:59.802616+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600017631.0001.pdf,SDE-TS-RE600017631.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600017631.0001.pdf,07_SCIFORMA/acceptence_reports,106445,2018-03-27T00:56:10.445832+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600017636.0001.docx,SDE-TS-RE600017636.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600017636.0001.docx,07_SCIFORMA/acceptence_reports,49352,2020-01-14T01:50:59.849494+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600017636.0001.pdf,SDE-TS-RE600017636.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600017636.0001.pdf,07_SCIFORMA/acceptence_reports,105571,2018-03-27T00:56:10.602077+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600018120.0001.docx,SDE-TS-RE600018120.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600018120.0001.docx,07_SCIFORMA/acceptence_reports,49331,2020-01-14T01:51:00.896367+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600018421.0001.docx,SDE-TS-RE600018421.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600018421.0001.docx,07_SCIFORMA/acceptence_reports,49335,2020-01-14T01:51:01.318254+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600018523.0001.docx,SDE-TS-RE600018523.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600018523.0001.docx,07_SCIFORMA/acceptence_reports,49319,2020-01-14T01:51:01.802619+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600018523.0001.pdf,SDE-TS-RE600018523.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600018523.0001.pdf,07_SCIFORMA/acceptence_reports,102182,2018-03-27T00:56:15.727124+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600019030.0001.docx,SDE-TS-RE600019030.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600019030.0001.docx,07_SCIFORMA/acceptence_reports,49342,2020-01-14T01:51:03.052659+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600019030.0001.pdf,SDE-TS-RE600019030.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600019030.0001.pdf,07_SCIFORMA/acceptence_reports,104957,2018-03-27T00:56:18.352160+00:00,2026-03-12T11:16:06.006618+00:00
